Crop_Type,Soil_Type,Pesticide_Use_Category,Estimated_Insects_Count,Number_Doses_Week,Number_Weeks_Used,Number_Weeks_Quit,Season,Crop_Damage
Kharif,Alluvial,Bactericides,677,35,30,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2999,30,20,34,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,531,50,9,8,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,2015,5,30,19,Winter,Minimal Damage
Kharif,Alluvial,Bactericides,1385,20,18,0,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,625,20,24,8,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,915,25,32,1,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,2999,20,62,4,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1296,20,24,12,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1576,40,35,10,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,312,30,22,5,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1478,30,17,19,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,677,50,20,16,Monsoon,Minimal Damage
Rabi,Black-Cotton,Bactericides,448,60,23,0,Summer,Minimal Damage
Kharif,Alluvial,Bactericides,1678,30,37,0,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,2016,40,40,11,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,1132,10,36,4,Monsoon,Minimal Damage
Kharif,Black-Cotton,Bactericides,2267,25,35,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,448,25,22,3,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,577,20,17,9,Winter,Minimal Damage
Rabi,Alluvial,Herbicides,850,40,25,19,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1385,40,36,5,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1212,10,16,11,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,851,15,22,14,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1478,40,31,11,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1132,45,25,14,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1296,20,25,10,Summer,Minimal Damage
Rabi,Alluvial,Bactericides,3165,30,57,0,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,342,30,24,4,Summer,Minimal Damage
Rabi,Black-Cotton,Bactericides,1056,20,37,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,577,25,24,8,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1678,30,48,1,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,188,10,12,5,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,1478,15,15,0,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,1785,30,30,15,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1296,50,9,17,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,625,20,22,12,Summer,Minimal Damage
Kharif,Black-Cotton,Bactericides,984,30,42,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,851,60,30,11,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,2840,10,26,21,Monsoon,Minimal Damage
Rabi,Alluvial,Bactericides,1478,15,49,0,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,2840,50,40,3,Winter,Minimal Damage
Rabi,Alluvial,Bactericides,283,40,25,0,Winter,Minimal Damage
Rabi,Black-Cotton,Bactericides,732,30,30,0,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,1212,20,27,2,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,916,20,34,8,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,789,20,30,7,Winter,Minimal Damage
Kharif,Alluvial,Herbicides,577,15,22,9,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,375,15,17,9,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1576,80,50,0,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,1212,10,22,22,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,677,15,25,5,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,410,20,14,15,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,851,30,38,0,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,1898,30,55,0,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,1297,20,46,2,Summer,Minimal Damage
Kharif,Alluvial,Bactericides,1132,5,24,0,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,984,10,14,22,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1385,60,39,14,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,916,50,22,16,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,411,40,12,12,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,283,15,20,0,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,531,50,18,17,Monsoon,Minimal Damage
Kharif,Black-Cotton,Bactericides,851,10,21,0,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,1478,20,15,3,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,448,20,24,4,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,851,10,32,0,Monsoon,Minimal Damage
Kharif,Black-Cotton,Bactericides,677,10,29,0,Winter,Minimal Damage
Kharif,Black-Cotton,Bactericides,1385,30,35,0,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,2999,40,18,16,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,984,40,22,18,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,410,50,25,2,Summer,Minimal Damage
Kharif,Black-Cotton,Bactericides,2688,10,30,0,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1575,30,41,1,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,375,5,13,14,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,1898,40,10,36,Winter,Minimal Damage
Kharif,Alluvial,Bactericides,312,5,24,0,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,2401,5,5,40,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,1132,20,15,25,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,2267,60,45,3,Winter,Minimal Damage
Kharif,Alluvial,Herbicides,448,10,21,11,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,731,20,28,6,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,3164,5,14,28,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1385,20,39,4,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,626,30,15,17,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,1132,25,37,13,Winter,Minimal Damage
Rabi,Alluvial,Herbicides,984,40,28,12,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1296,20,34,1,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,1212,20,25,13,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2401,30,50,4,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2999,15,36,13,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,1385,10,18,31,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1056,20,27,13,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,411,10,25,15,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,488,40,30,0,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,531,40,29,4,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1132,80,42,8,Winter,Minimal Damage
Kharif,Alluvial,Bactericides,850,25,37,0,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,851,30,30,6,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1785,50,30,20,Monsoon,Minimal Damage
Rabi,Black-Cotton,Bactericides,1296,40,48,0,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,1212,20,45,1,Winter,Minimal Damage
Rabi,Alluvial,Bactericides,2267,40,34,0,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,488,40,15,3,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1898,65,19,34,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,256,20,13,10,Summer,Minimal Damage
Kharif,Black-Cotton,Bactericides,2401,40,50,0,Winter,Minimal Damage
Kharif,Alluvial,Herbicides,488,40,24,2,Winter,Minimal Damage
Kharif,Alluvial,Herbicides,2015,20,33,9,Summer,Minimal Damage
Kharif,Alluvial,Bactericides,3516,10,53,0,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1056,50,21,19,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,531,15,24,0,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,448,40,27,3,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,531,10,20,6,Winter,Minimal Damage
Kharif,Alluvial,Bactericides,488,10,17,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Bactericides,1478,25,37,0,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,1132,30,31,9,Summer,Minimal Damage
Rabi,Alluvial,Bactericides,531,30,15,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1678,20,19,24,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,677,70,22,11,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,732,30,35,7,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,3336,20,33,32,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1132,40,31,7,Winter,Minimal Damage
Kharif,Black-Cotton,Bactericides,915,15,40,0,Summer,Minimal Damage
Rabi,Black-Cotton,Bactericides,577,15,19,0,Winter,Minimal Damage
Rabi,Alluvial,Herbicides,488,15,10,13,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,488,20,30,1,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,1678,10,15,31,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,577,50,32,1,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1478,60,27,10,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,2016,10,36,15,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,1478,15,46,3,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,1056,40,35,7,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,1678,25,25,14,Summer,Minimal Damage
Kharif,Alluvial,Bactericides,311,30,10,0,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,731,20,26,6,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,1056,20,31,11,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,851,40,25,19,Winter,Minimal Damage
Rabi,Alluvial,Herbicides,1576,30,26,10,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,3895,15,45,14,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1898,10,33,15,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1132,60,20,5,Monsoon,Minimal Damage
Kharif,Black-Cotton,Bactericides,789,20,19,0,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,626,30,27,2,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1478,30,36,9,Monsoon,Minimal Damage
Rabi,Black-Cotton,Bactericides,1785,20,49,0,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,626,30,20,16,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1132,60,38,0,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,2401,10,32,20,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,375,20,24,4,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,1678,50,43,0,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,1132,80,36,10,Monsoon,Minimal Damage
Kharif,Black-Cotton,Bactericides,209,5,21,0,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,488,30,17,7,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,731,20,20,20,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1212,20,8,29,Summer,Minimal Damage
Rabi,Alluvial,Bactericides,448,5,32,0,Summer,Minimal Damage
Kharif,Black-Cotton,Bactericides,257,20,22,0,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,731,30,22,15,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,790,40,15,12,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,1478,25,34,24,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,3336,40,39,17,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1056,40,37,1,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,1296,10,14,16,Winter,Minimal Damage
Kharif,Alluvial,Herbicides,1898,5,30,16,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,2688,5,15,28,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2015,40,28,13,Winter,Minimal Damage
Kharif,Black-Cotton,Bactericides,1212,15,17,0,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,2541,50,35,20,Monsoon,Minimal Damage
Rabi,Black-Cotton,Bactericides,488,10,5,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,488,20,30,3,Winter,Minimal Damage
Rabi,Alluvial,Herbicides,1056,50,43,2,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1678,40,35,14,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1056,50,9,4,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,448,20,17,7,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1898,15,10,16,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2267,80,29,19,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2541,20,50,6,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,1296,40,40,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2840,20,25,28,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1678,40,30,13,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1296,40,17,25,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2840,30,56,1,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,2138,30,33,12,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,790,30,27,6,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,731,60,18,22,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1576,30,13,33,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,4097,60,31,35,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1785,40,38,20,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,1785,30,15,30,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,577,15,5,8,Monsoon,Minimal Damage
Rabi,Alluvial,Bactericides,1297,5,42,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,448,60,20,13,Monsoon,Minimal Damage
Rabi,Black-Cotton,Bactericides,677,10,30,0,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,789,10,19,14,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,3164,25,31,1,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,150,20,15,1,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1296,15,24,18,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,2688,70,38,20,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2999,20,41,44,Winter,Minimal Damage
Kharif,Alluvial,Herbicides,2999,40,12,32,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,168,10,13,0,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,2687,20,27,20,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1898,20,23,21,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,311,5,17,4,Monsoon,Minimal Damage
Rabi,Black-Cotton,Bactericides,488,5,27,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Bactericides,790,5,25,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1678,25,36,16,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,1132,40,18,23,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1212,10,35,12,Winter,Minimal Damage
Kharif,Alluvial,Herbicides,789,20,34,0,Winter,Minimal Damage
Kharif,Black-Cotton,Bactericides,2015,30,53,0,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,850,5,15,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1478,30,35,0,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,3702,20,34,6,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,984,10,25,11,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2016,20,19,30,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,915,20,10,10,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,789,10,20,20,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,851,20,26,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Bactericides,984,10,30,0,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,915,10,5,20,Winter,Minimal Damage
Kharif,Alluvial,Herbicides,2267,10,43,5,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,312,20,17,10,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,789,25,17,18,Winter,Minimal Damage
Rabi,Alluvial,Bactericides,3337,30,54,0,Winter,Minimal Damage
Kharif,Alluvial,Herbicides,2267,20,26,27,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,2401,20,25,28,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2138,10,35,13,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,2139,20,10,18,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1297,40,34,2,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,1385,10,10,30,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,3702,10,47,0,Winter,Minimal Damage
Kharif,Alluvial,Herbicides,1785,10,10,3,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1296,40,41,5,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2267,15,42,13,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,790,20,16,19,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1575,25,29,19,Summer,Minimal Damage
Kharif,Alluvial,Bactericides,531,40,33,0,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,789,50,14,15,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,1786,20,10,30,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,1785,25,21,24,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1898,20,15,32,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,1056,60,40,0,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,625,20,10,15,Winter,Minimal Damage
Rabi,Black-Cotton,Bactericides,488,50,39,0,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,1785,60,23,25,Winter,Minimal Damage
Kharif,Alluvial,Bactericides,531,20,32,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Bactericides,732,35,6,0,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,677,10,16,11,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1785,10,28,20,Monsoon,Minimal Damage
Kharif,Alluvial,Bactericides,1785,20,42,0,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,1678,60,24,11,Winter,Minimal Damage
Kharif,Alluvial,Herbicides,915,30,29,10,Monsoon,Minimal Damage
Rabi,Alluvial,Bactericides,531,25,29,0,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,789,15,30,5,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,1678,60,25,20,Monsoon,Minimal Damage
Rabi,Black-Cotton,Bactericides,410,60,37,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1296,20,37,3,Winter,Minimal Damage
Kharif,Black-Cotton,Bactericides,531,50,20,0,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,2267,10,44,7,Winter,Minimal Damage
Kharif,Alluvial,Herbicides,2016,5,28,13,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,677,25,30,3,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,489,40,22,2,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2401,25,15,30,Summer,Minimal Damage
Kharif,Alluvial,Bactericides,1576,20,38,0,Winter,Minimal Damage
Rabi,Black-Cotton,Bactericides,209,20,13,0,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,489,60,16,11,Winter,Minimal Damage
Rabi,Black-Cotton,Bactericides,1132,60,37,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,577,15,19,12,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1478,20,38,8,Monsoon,Minimal Damage
Rabi,Alluvial,Bactericides,531,25,33,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2267,35,25,34,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1132,20,13,23,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,256,40,22,0,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,851,20,31,4,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,1056,5,21,16,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,2840,20,44,7,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,2840,40,23,31,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,448,10,18,10,Winter,Minimal Damage
Rabi,Alluvial,Herbicides,1296,40,33,7,Summer,Minimal Damage
Rabi,Black-Cotton,Bactericides,1898,40,26,0,Summer,Minimal Damage
Rabi,Black-Cotton,Bactericides,677,30,34,0,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,577,5,21,8,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,410,30,24,5,Winter,Minimal Damage
Rabi,Alluvial,Herbicides,789,75,36,20,Monsoon,Minimal Damage
Rabi,Black-Cotton,Bactericides,342,60,29,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1898,10,22,26,Summer,Minimal Damage
Kharif,Alluvial,Bactericides,2016,20,41,0,Summer,Minimal Damage
Rabi,Alluvial,Bactericides,2688,20,58,0,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,448,10,20,3,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,2015,15,27,13,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,1385,40,35,11,Summer,Minimal Damage
Kharif,Alluvial,Herbicides,577,5,11,19,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,789,35,20,16,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,984,20,24,14,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,732,10,24,13,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1678,10,18,24,Winter,Minimal Damage
Kharif,Alluvial,Herbicides,984,40,16,20,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,256,5,13,8,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1385,40,27,1,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1385,40,40,13,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,1576,25,22,21,Summer,Minimal Damage
Rabi,Alluvial,Bactericides,851,50,37,0,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1385,40,32,7,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,851,60,20,8,Winter,Minimal Damage
Kharif,Alluvial,Bactericides,2840,20,48,0,Winter,Minimal Damage
Kharif,Alluvial,Bactericides,4096,25,60,0,Monsoon,Minimal Damage
Kharif,Black-Cotton,Bactericides,410,20,16,0,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,1678,20,12,32,Winter,Minimal Damage
Kharif,Black-Cotton,Bactericides,1056,20,27,0,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,3895,40,32,30,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2267,5,22,38,Winter,Minimal Damage
Kharif,Alluvial,Herbicides,677,10,15,19,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,489,20,15,17,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,2840,5,41,18,Winter,Minimal Damage
Rabi,Alluvial,Herbicides,1132,30,22,19,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2401,20,35,10,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1212,60,38,7,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2401,60,29,20,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,577,40,29,6,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,1056,20,20,20,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,915,20,35,7,Winter,Minimal Damage
Rabi,Black-Cotton,Bactericides,2138,10,33,0,Winter,Minimal Damage
Rabi,Alluvial,Herbicides,1212,10,37,6,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,2015,20,16,32,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,1132,40,34,1,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1132,30,24,20,Summer,Minimal Damage
Rabi,Black-Cotton,Bactericides,625,45,36,0,Monsoon,Minimal Damage
Kharif,Alluvial,Herbicides,2688,10,34,8,Winter,Minimal Damage
Kharif,Alluvial,Herbicides,256,20,17,7,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,731,50,31,3,Winter,Minimal Damage
Kharif,Alluvial,Bactericides,1678,20,52,0,Monsoon,Minimal Damage
Rabi,Alluvial,Bactericides,256,20,28,0,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,375,30,15,14,Monsoon,Minimal Damage
Rabi,Black-Cotton,Bactericides,789,80,37,0,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1385,20,30,11,Summer,Minimal Damage
Kharif,Black-Cotton,Bactericides,531,25,26,0,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,2138,60,46,3,Summer,Minimal Damage
Rabi,Alluvial,Herbicides,1385,40,34,8,Winter,Minimal Damage
Rabi,Black-Cotton,Herbicides,677,60,10,3,Summer,Minimal Damage
Rabi,Black-Cotton,Bactericides,448,25,17,0,Winter,Minimal Damage
Kharif,Alluvial,Bactericides,3336,20,36,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Bactericides,1478,15,54,0,Monsoon,Minimal Damage
Rabi,Black-Cotton,Bactericides,732,40,34,0,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,2541,30,47,7,Winter,Minimal Damage
Rabi,Alluvial,Herbicides,1056,40,24,1,Summer,Minimal Damage
Rabi,Black-Cotton,Herbicides,1132,35,15,23,Monsoon,Minimal Damage
Rabi,Alluvial,Bactericides,4097,5,64,0,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,2267,10,16,32,Monsoon,Minimal Damage
Rabi,Black-Cotton,Herbicides,2541,10,30,21,Monsoon,Minimal Damage
Rabi,Alluvial,Herbicides,1576,40,28,19,Monsoon,Minimal Damage
Kharif,Black-Cotton,Bactericides,375,40,19,0,Monsoon,Minimal Damage
